name,true_label,pred_label,prec
512,1,0,0.5
513,1,1,0.68
514,1,0,0.22
515,1,1,0.68
516,1,1,0.68
517,1,1,0.62
518,1,1,0.74
519,1,1,0.72
520,1,0,0.44
521,1,1,0.8
522,1,1,0.68
523,1,0,0.4
524,1,0,0.47
525,1,1,0.65
526,1,0,0.52
527,1,1,0.57
528,1,1,0.6
529,1,1,0.8
530,1,0,0.44
531,1,1,0.76
532,1,0,0.33
533,1,1,0.79
534,1,1,0.74
535,1,1,0.8
536,1,1,0.7
537,1,0,0.53
538,1,1,0.67
539,1,1,0.72
540,1,1,0.6
541,1,0,0.48
542,1,1,0.7
543,1,1,1.0
544,1,1,0.7
545,1,1,0.76
546,1,1,0.65
547,1,1,0.69
548,1,0,0.29
549,1,0,0.33
550,1,0,0.42
551,1,0,0.5
552,1,0,0.53
553,1,1,0.71
554,1,1,0.84
555,1,1,0.81
556,1,0,0.55
557,1,1,0.96
558,1,1,0.57
559,1,1,0.8
560,1,1,0.79
561,1,0,0.48
562,1,0,0.49
563,1,1,0.56
564,1,0,0.54
565,1,1,0.71
566,1,1,0.79
567,1,1,0.79
568,1,0,0.52
569,1,0,0.51
570,1,1,0.63
571,1,1,0.68
572,1,1,0.63
573,1,1,0.6
574,1,1,0.73
575,1,0,0.46
576,1,0,0.36
577,1,1,0.75
578,1,1,0.67
579,1,1,0.79
580,1,1,0.61
581,1,1,0.65
582,1,1,0.74
583,1,1,0.79
584,1,1,0.72
585,1,0,0.54
586,1,1,0.71
587,1,0,0.52
588,1,1,0.8
589,1,0,0.45
590,1,1,0.58
591,1,1,0.65
592,1,0,0.39
593,1,1,0.93
594,1,1,0.7
595,1,1,0.88
596,1,1,0.63
597,1,1,0.62
598,1,0,0.52
599,1,0,0.28
600,1,0,0.33
601,1,1,0.66
602,1,1,0.58
603,1,1,0.67
604,1,1,0.68
605,1,1,0.82
606,1,1,0.78
607,1,1,0.89
608,1,1,0.82
609,1,1,0.66
610,1,0,0.5
611,1,1,0.77
612,1,1,0.72
613,1,1,0.6
614,1,0,0.53
615,1,1,0.72
616,1,1,0.64
617,1,1,0.73
618,1,1,0.84
619,1,0,0.51
620,1,1,0.76
621,1,1,0.64
622,1,1,0.92
623,1,1,0.57
624,1,1,0.65
625,1,1,0.74
626,1,0,0.47
627,1,1,0.7
628,1,1,0.78
629,1,1,0.55
630,1,1,0.86
631,1,1,0.65
632,1,1,0.77
633,1,0,0.52
634,1,1,0.72
635,1,0,0.52
636,1,0,0.28
637,0,1,0.74
638,0,0,0.45
639,0,0,0.16
640,0,0,0.09
641,0,1,0.72
642,0,0,0.28
643,0,0,0.48
644,0,1,0.56
645,0,1,0.63
646,0,0,0.27
647,0,0,0.23
648,0,0,0.39
649,0,0,0.05
650,0,1,0.6
651,0,0,0.27
652,0,1,0.6
653,0,1,0.69
654,0,0,0.4
655,0,0,0.26
656,0,0,0.47
657,0,1,0.56
658,0,1,0.58
659,0,0,0.43
660,0,0,0.32
661,0,0,0.1
662,0,0,0.03
663,0,0,0.14
664,0,0,0.3
665,0,0,0.5
666,0,0,0.22
667,0,0,0.23
668,0,0,0.31
669,0,0,0.1
670,0,0,0.32
671,0,0,0.33
672,0,0,0.29
673,0,0,0.14
674,0,0,0.1
675,0,0,0.0
676,0,0,0.32
677,0,1,0.62
678,0,0,0.38
679,0,1,0.59
680,0,0,0.0
681,0,0,0.2
682,0,0,0.41
683,0,0,0.06
684,0,0,0.49
685,0,0,0.33
686,0,0,0.33
687,0,0,0.17
688,0,0,0.22
689,0,0,0.14
690,0,1,0.69
691,0,1,0.65
692,0,0,0.17
693,0,0,0.19
694,0,0,0.0
